id,observed_on,latitude,longitude,positional_accuracy,private_place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
37198179,2020-01-02,43.6491772531,-79.4470722826,22,,Greater celandine,Chelidonium majus,白屈菜,Plantae,55757
37198235,2020-01-02,43.6492131285,-79.4469584339,22,,Silvery Bryum,Bryum argenteum,银叶真藓,Plantae,123390
37198295,2020-01-02,43.6492116815,-79.4469556779,22,,northern whitecedar,Thuja occidentalis,北美香柏,Plantae,54037
37198305,2020-01-02,43.6491952938,-79.4469479565,22,,herb Robert,Geranium robertianum,汉荭鱼腥草,Plantae,55925
37228942,2020-01-02,43.6462150974,-79.4692687726,38,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
37501774,2020-01-11,43.6475616667,-79.4702616667,,,Great Blue Heron,Ardea herodias,大蓝鹭,Aves,4956
37531082,2020-01-12,43.641834259,-79.4620819092,,,Downy Woodpecker,Dryobates pubescens,绒啄木鸟,Aves,792988
37542124,2020-01-12,43.6459466667,-79.4606133333,,,Great Horned Owl,Bubo virginianus,大雕鸮,Aves,20044
37542125,2020-01-12,43.641655,-79.4634683333,,,Red-tailed Hawk,Buteo jamaicensis,红尾鵟,Aves,5212
37594782,2020-01-13,43.6455574036,-79.4658355713,,,Eastern Gray Squirrel,Sciurus carolinensis,东美松鼠,Mammalia,46017
37746695,2020-01-18,43.654034943,-79.4813537158,65,,Red Fox,Vulpes vulpes,赤狐,Mammalia,42069
38020845,2020-01-26,43.6465478276,-79.4636902213,4208,,Mallard,Anas platyrhynchos,绿头鸭,Aves,6930
38046045,2020-01-25,43.6465723312,-79.4637680054,1034,,Great Horned Owl,Bubo virginianus,大雕鸮,Aves,20044
38046046,2020-01-25,43.6459050077,-79.4646267091,1170,,Hairy Woodpecker,Leuconotopicus villosus,多毛啄木鸟,Aves,1651487
38103909,2020-01-24,43.6418,-79.48591667,5,,Mute Swan,Cygnus olor,疣鼻天鹅,Aves,6921
38134825,2020-01-27,43.63438,-79.46759667,16,,lesser burdock,Arctium minus,小牛蒡,Plantae,59570
38134898,2020-01-27,43.64538833,-79.46553833,10,,Japanese barberry,Berberis thunbergii,日本小檗,Plantae,58727
38134924,2020-01-28,43.64446333,-79.466645,4,,Japanese barberry,Berberis thunbergii,日本小檗,Plantae,58727
38188747,2020-02-01,43.6506194679,-79.4632359429,16,,Hairy Bracket,Trametes hirsuta,硬毛栓菌,Fungi,116695
38273553,2020-02-03,43.6395888889,-79.4576861111,,,Feral Pigeon,Columba livia domestica,家鸽,Aves,122767
38338655,2020-02-05,43.6429614825,-79.4502476835,16,,Punaise diabolique,Halyomorpha halys,茶翅蝽,Insecta,81923
38421830,2020-02-07,43.6481452809,-79.4702747095,15,,American Robin,Turdus migratorius,旅鸫,Aves,12727
38421859,2020-02-07,43.6472246453,-79.4696107739,15,,Hairy Woodpecker,Leuconotopicus villosus,多毛啄木鸟,Aves,1651487
38430637,2020-02-08,43.6449726889,-79.4589103794,22,,Mourning Dove,Zenaida macroura,哀鸽,Aves,3454
38430686,2020-02-08,43.6415845767,-79.4626720871,22,,winged euonymus,Euonymus alatus,卫矛,Plantae,117433
